Urchin ID,Tank,Header,Treatment,Urchin_Size,Urchin_B_Weight,Urchin_W_weight,K_S1,K_E1,Period,Dummy,SubP_Event,
K254,1A,1,7.8,4,26.74,5.08,2.74,0.9,B,1,1,
K213,1A,1,7.8,3.6,23.6,3.89,4.77,4.41,B,1,1,
B4,1A,1,7.8,3.5,16.18,2.85,3.99,3.26,B,1,1,
B122,1A,1,7.8,4.2,24.23,4.28,3.61,2.76,B,1,1,
K84,1A,1,7.8,3.2,16.32,3.12,3.03,2.08,B,1,1,
K216,1A,1,7.8,4.2,27.46,4.72,3.19,2.39,B,1,1,
B23,1A,1,7.8,3.7,25.85,4.65,4.05,3.07,B,1,1,
B69,1A,1,7.8,4,20.46,3.83,4.22,3.42,B,1,1,
B39,1A,1,7.8,3.9,26.36,4.62,3.12,2.46,B,1,1,
B100,1A,1,7.8,4.9,40.49,7.2,4.62,3.84,B,1,1,
B114,1A,1,7.8,4.5,35.04,5.73,3.07,1.62,B,1,1,
K249,1A,1,7.8,4.2,30.76,5.55,2.52,1.6,B,1,1,
B18,1B,1,7.8,3.7,17.64,3,3.44,2.62,B,1,1,
K100,1B,1,7.8,4.55,35.92,6.98,4.97,5,B,1,1,DNE?
B53,1B,1,7.8,4.1,23,3.91,3.54,3.06,B,1,1,
B76,1B,1,7.8,4,19.92,3.47,3.59,2.5,B,1,1,
K13,1B,1,7.8,4.8,31.7,5.68,3.75,3.07,B,1,1,
B90,1B,1,7.8,3.5,21.69,4.23,3.99,3.52,B,1,1,
B26,1B,1,7.8,4,28.19,5.05,3.25,2.22,B,1,1,
B5,1B,1,7.8,3.4,16.61,3.14,4.29,3.67,B,1,1,
B124,1B,1,7.8,4.3,29.12,5.09,3.13,2.37,B,1,1,
B99,1B,1,7.8,3.9,16.65,3.32,2.45,1.6,B,1,1,
B61,1B,1,7.8,3.8,20.58,3.68,5.91,4.35,B,1,1,
K255,1B,1,7.8,3.5,18.71,3.45,3.38,2.79,B,1,1,
K54,5A,5,7.8,4.5,34.85,6.25,5.03,3.63,B,1,1,
K205,5A,5,7.8,4.1,26.49,4.65,3.6,2.73,B,1,1,
K226,5A,5,7.8,5.4,48.79,9.12,4.04,3.31,B,1,1,
K200,5A,5,7.8,4.8,37.57,6.54,4.48,4.18,B,1,1,
B95,5A,5,7.8,4.1,23.12,4.13,3.97,2.47,B,1,1,
B52,5A,5,7.8,3.8,20.73,3.74,4.93,4.49,B,1,1,
K201,5A,5,7.8,3.4,18.13,3.32,3.47,3.03,B,1,1,
B66,5A,5,7.8,4.25,25.33,4.71,3.29,2.45,B,1,1,
K16,5A,5,7.8,3.8,20.02,3.53,3.76,3.29,B,1,1,
B81,5A,5,7.8,4.2,27.54,4.9,4.61,3.31,B,1,1,
K31,5A,5,7.8,4.65,30.34,5.34,3.43,2.56,B,1,1,
B64,5A,5,7.8,3.8,18.15,3.21,2.95,2.04,B,1,1,
K220,5B,5,7.8,3.5,18.76,3.16,2.91,1.9,B,1,1,
B58,5B,5,7.8,4.1,26.65,4.5,5.08,3.46,B,1,1,
K241,5B,5,7.8,4.2,30.59,5.18,5.67,5.39,B,1,1,
B41,5B,5,7.8,4.6,38.46,6.94,3.48,2.99,B,1,1,
B78,5B,5,7.8,3.8,19.05,3.61,4.73,3.49,B,1,1,
K219,5B,5,7.8,3.5,19.55,3.59,4.49,4.51,B,1,1,
K240,5B,5,7.8,3.5,17.03,3.12,6.33,5.03,B,1,1,
K252,5B,5,7.8,4.2,28.92,5.25,3.56,2.84,B,1,1,
B43,5B,5,7.8,3.3,17.7,3.1,4.5,3.48,B,1,1,
B116,5B,5,7.8,3.9,22.27,4.06,5.35,4.89,B,1,1,
B9,5B,5,7.8,3.1,13.36,2.22,3.4,3.14,B,1,1,
K236,5B,5,7.8,3.7,20.37,4.07,3.69,2.86,B,1,1,
K50,3A,3,7.65,4.4,34.11,5.86,3.23,0.58,B,1,1,
B120,3A,3,7.65,4,19.85,3.86,3.09,1.5,B,1,1,
K233,3A,3,7.65,4.3,32.3,5.19,3.79,2.46,B,1,1,
B77,3A,3,7.65,4.2,22.95,4.26,5.64,5.08,B,1,1,
B91,3A,3,7.65,3.6,22.08,3.71,3.81,2.42,B,1,1,
K83,3A,3,7.65,3.2,13.96,2.74,3.72,2.47,B,1,1,
B45,3A,3,7.65,4.1,25.91,4.33,3.7,2.17,B,1,1,
B68,3A,3,7.65,4,26.78,5.12,4.51,3.09,B,1,1,
B38,3A,3,7.65,4.5,34.14,5.88,4.62,2.43,B,1,1,
B104,3A,3,7.65,3.9,23.04,4.02,4.09,3.34,B,1,1,
B65,3A,3,7.65,4.4,36.07,6.56,4.67,3.78,B,1,1,
B79,3A,3,7.65,3.7,18.99,3.33,3.26,2.18,B,1,1,
B105,3B,3,7.65,3.7,17.57,3.09,2.93,1.53,B,1,1,
K243,3B,3,7.65,4.1,27.4,4.63,3.44,2.42,B,1,1,
B15,3B,3,7.65,3.8,22.78,4.01,4.35,3,B,1,1,
K127,3B,3,7.65,3.1,13.27,2.35,5.48,5.07,B,1,1,
K225,3B,3,7.65,4.2,26.7,5.04,4.6,3.63,B,1,1,
K248,3B,3,7.65,3.9,26.9,4.96,4.04,3.05,B,1,1,
K209,3B,3,7.65,5,54.06,9.13,3.84,1.65,B,1,1,
B25,3B,3,7.65,3.3,14.92,2.55,2.92,1.29,B,1,1,
B37,3B,3,7.65,3.9,23.09,4.12,3.9,2.32,B,1,1,
B7,3B,3,7.65,3.7,19.22,3.53,5.06,4.15,B,1,1,
B46,3B,3,7.65,4.6,32.92,5.03,3.81,2.61,B,1,1,
K208,3B,3,7.65,3.35,15.92,2.92,4.96,4.47,B,1,1,
K202,4A,4,7.65,4.2,29.84,5.35,3.16,1.02,B,1,1,
K212,4A,4,7.65,3.75,22.1,3.79,3.88,1.88,B,1,1,
K214,4A,4,7.65,5.1,43.47,7.55,4.2,3.48,B,1,1,
K218,4A,4,7.65,3.2,14.36,2.65,3.63,2.36,B,1,1,
K210,4A,4,7.65,4.1,25.92,4.75,3.32,1.66,B,1,1,
K231,4A,4,7.65,3.7,19.33,3.61,3,1.83,B,1,1,
B86,4A,4,7.65,3.7,18.53,3.25,4.7,3.13,B,1,1,
B62,4A,4,7.65,4.65,29.87,5.2,2.49,0.6,B,1,1,
K129,4A,4,7.65,3.2,15.12,2.85,3.98,2.57,B,1,1,
B63,4A,4,7.65,4,26.31,4.49,6.23,5.06,B,1,1,
K259,4A,4,7.65,2.8,10.58,1.78,6.18,5.28,B,1,1,
K246,4A,4,7.65,3.7,20.83,3.5,3.33,1.21,B,1,1,
B113,4B,4,7.65,5.65,70.01,11.35,3.64,0,B,1,1,
B32,4B,4,7.65,4.4,29.58,5.12,5.87,4.93,B,1,1,
B60,4B,4,7.65,3.2,14.6,2.79,3.85,2.49,B,1,1,
K120,4B,4,7.65,3.8,16.34,2.56,3.6,3.34,B,1,1,
B121,4B,4,7.65,3.8,16.34,2.56,3.33,2.04,B,1,1,
K265,4B,4,7.65,3.6,15.15,2.81,4.26,3.38,B,1,1,
K222,4B,4,7.65,3.5,18.06,3.57,5.21,4.23,B,1,1,
K242,4B,4,7.65,4.4,31.97,5.44,3.78,2.37,B,1,1,
B19,4B,4,7.65,3.35,16.77,2.98,3.47,2.06,B,1,1,
B50,4B,4,7.65,3.7,14.8,2.61,4.42,2.99,B,1,1,
K221,4B,4,7.65,5,53.31,8.89,5.69,4.92,B,1,1,
K262,4B,4,7.65,3.1,18.33,3.06,5.73,5.02,B,1,1,
B10,6A,6,7.8,3.6,18.1,3.13,3.78,3.27,B,1,1,
K261,6A,6,7.8,3.4,15.05,2.81,4.1,3.21,B,1,1,
B42,6A,6,7.8,3.5,14.73,2.7,2.86,2.42,B,1,1,
B80,6A,6,7.8,3.7,15.6,2.95,4.71,4.13,B,1,1,
B115,6A,6,7.8,4,19.95,3.74,3.63,2.99,B,1,1,
K35,6A,6,7.8,3.8,21.45,4.15,4.29,3.6,B,1,1,
K9,6A,6,7.8,3.9,19.89,3.55,3.24,2.4,B,1,1,
K77,6A,6,7.8,5,52.19,9.3,3.73,3.06,B,1,1,
K211,6A,6,7.8,3.7,19.8,3.35,4.64,3.85,B,1,1,
B108,6A,6,7.8,3.5,16.14,3.16,5.51,4.76,B,1,1,
B27,6A,6,7.8,3.6,18.7,3.16,6.73,6.45,B,1,1,
B24,6A,6,7.8,3.3,13.09,2.42,4.91,4.31,B,1,1,
K244,6B,6,7.8,4.4,35.48,6.05,3.51,1.16,B,1,1,
B11,6B,6,7.8,3.5,18.05,3.23,3.52,2.92,B,1,1,
K121,6B,6,7.8,3.2,15.2,2.72,4.32,3.15,B,1,1,
B33,6B,6,7.8,3.7,21.11,3.49,2.62,1.65,B,1,1,
B6,6B,6,7.8,3.1,13.39,2.56,3.95,3.36,B,1,1,
B118,6B,6,7.8,4,21.05,3.79,4.06,3.57,B,1,1,
B87,6B,6,7.8,3.6,19.91,3.64,2.88,1.64,B,1,1,
B13,6B,6,7.8,3.5,18.58,3.48,4.56,3.97,B,1,1,
B75,6B,6,7.8,4.8,34.06,6.25,4.25,3.38,B,1,1,
K238,6B,6,7.8,3.7,21.78,4.32,2.71,1.18,B,1,1,
B51,6B,6,7.8,4.1,19.18,3.59,4.35,3.71,B,1,1,
B2,6B,6,7.8,3.3,14.84,2.59,2.34,1.43,B,1,1,
K60,8A,8,7.65,4.1,29.89,5.8,3.72,3.43,B,1,1,
K47,8A,8,7.65,4,29,5,3.81,2.67,B,1,1,
K6,8A,8,7.65,3.9,23.36,4.26,3.82,3.46,B,1,1,
B12,8A,8,7.65,4.8,44.6,7.89,3.59,1.59,B,1,1,
B8,8A,8,7.65,3.3,14.72,2.57,2.96,2.03,B,1,1,
B34,8A,8,7.65,3.7,22.3,3.75,4.34,3.04,B,1,1,
B106,8A,8,7.65,4.3,25.45,"4,50",4.06,3.8,B,1,1,
K39,8A,8,7.65,3.8,18.65,3.71,3.23,2.67,B,1,1,
B47,8A,8,7.65,3.4,16.01,2.8,3.49,2.68,B,1,1,
K250,8A,8,7.65,3.8,22.5,4.32,2.64,1.47,B,1,1,
K227,8A,8,7.65,3.5,21.54,3.68,3.96,2.78,B,1,1,
K266,8A,8,7.65,3.3,14.34,2.64,4.54,3.12,B,1,1,
B40,8B,8,7.65,3.8,23.95,4.63,3.78,3.58,B,1,1,
B44,8B,8,7.65,5.4,52.83,9.33,4.23,2.85,B,1,1,
B56,8B,8,7.65,5.5,40.02,6.9,3.62,2.43,B,1,1,
B54,8B,8,7.65,3.4,17.31,3.16,3.21,2.6,B,1,1,
B107,8B,8,7.65,3.7,18.92,3.22,2.99,1.98,B,1,1,
K256,8B,8,7.65,4.1,28.36,5.03,3.32,2.53,B,1,1,
B22,8B,8,7.65,2.9,10.76,1.86,3.65,2.98,B,1,1,
K18,8B,8,7.65,4.25,25.5,4.37,3.35,2.47,B,1,1,
K245,8B,8,7.65,3.3,16.85,2.86,5.09,4.05,B,1,1,
K46,8B,8,7.65,4.4,30.21,5.05,2.73,1.96,B,1,1,
K257,8B,8,7.65,2.8,10.32,2.05,3.06,2.62,B,1,1,
B57,8B,8,7.65,3.1,13.07,2.49,5.02,4.71,B,1,1,
B67,9A,9,7.5,3.7,14.61,3.01,3.01,2.33,B,1,1,
B97,9A,9,7.5,3.6,20.47,3.84,2.85,2.12,B,1,1,
B98,9A,9,7.5,4.25,27.73,4.88,4.96,3.34,B,1,1,
B29,9A,9,7.5,3.6,17.64,3.13,3.88,2.76,B,1,1,
B31,9A,9,7.5,4.1,24.6,4.38,3.1,2.54,B,1,1,
B96,9A,9,7.5,3.9,20.63,3.68,5.09,3.57,B,1,1,
B88,9A,9,7.5,3.6,17.23,2.6,3.8,2.92,B,1,1,
K254,9A,9,7.5,4,26.74,5.08,4.2,3.37,B,1,1,
K215,9A,9,7.5,3.1,12.09,2.13,5.77,5.19,B,1,1,
B55,9A,9,7.5,3.5,16.06,3.02,3.47,3.21,B,1,1,
B3,9A,9,7.5,3.8,19.88,3.63,2.84,1.96,B,1,1,
B83,9A,9,7.5,3.6,18.18,3.33,3.5,3.16,B,1,1,
B28,9B,9,7.5,3.1,12.45,2.34,3.87,3.21,B,1,1,
K247,9B,9,7.5,4.1,25.2,4.32,3.23,1.75,B,1,1,
B36,9B,9,7.5,3.5,18.28,2.92,6,5.79,B,1,1,
K56,9B,9,7.5,3.6,16.24,3.04,2.6,1.25,B,1,1,
K253,9B,9,7.5,3.8,23.29,3.98,4.62,2.5,B,1,1,
K229,9B,9,7.5,4.9,44.99,7.76,3.46,2.26,B,1,1,
B112,9B,9,7.5,3.7,18.22,3.33,4.9,3.85,B,1,1,
K224,9B,9,7.5,3.6,17.76,3.15,3.31,2.25,B,1,1,
K89,9B,9,7.5,3.5,17.66,3,3.22,2.75,B,1,1,
B117,9B,9,7.5,3.6,16.74,3.05,4.06,3.72,B,1,1,
B109,9B,9,7.5,5.7,66.46,11.33,4.38,4.26,B,1,1,
B59,9B,9,7.5,3.4,15.37,2.85,4.02,3.09,B,1,1,
K217,10A,10,7.5,4.5,32.87,5.95,6.03,5.22,B,1,1,
B123,10A,10,7.5,3.85,21.87,3.79,4.52,2.87,B,1,1,
B103,10A,10,7.5,3.8,19.2,3.44,3.93,3.13,B,1,1,
K263,10A,10,7.5,3.4,13.96,2.38,4.18,3.17,B,1,1,
K8,10A,10,7.5,4.15,23.87,4.23,2.63,1.61,B,1,1,
K232,10A,10,7.5,4.2,33.38,6.06,3.69,3.45,B,1,1,
B35,10A,10,7.5,3.8,21.45,4.15,3.61,2.09,B,1,1,
B92,10A,10,7.5,3.3,16.62,3.15,5.84,4.35,B,1,1,
K235,10A,10,7.5,4.4,32.86,5.58,4.85,4.07,B,1,1,
K49,10A,10,7.5,4.8,36.23,6.8,4.43,3.69,B,1,1,
K203,10A,10,7.5,4.1,25.2,4.33,6,4.94,B,1,1,
B71,10A,10,7.5,4.1,25.99,4.58,4.98,3.33,B,1,1,
K260,10B,10,7.5,3,12.95,2.47,4.57,3.65,B,1,1,
K207,10B,10,7.5,4,24.05,4.42,4.11,3.25,B,1,1,
B72,10B,10,7.5,3.9,26.72,4.73,3.36,2.57,B,1,1,
B82,10B,10,7.5,4.1,29.86,5.46,4.82,3.87,B,1,1,
K71,10B,10,7.5,4.2,25.86,4.27,3.27,1.75,B,1,1,
B20,10B,10,7.5,3.2,14.91,2.6,3.8,2.86,B,1,1,
B48,10B,10,7.5,3.8,17.18,3.28,3.53,2.36,B,1,1,
B30,10B,10,7.5,3.2,14.3,2.6,4.68,3.43,B,1,1,
B49,10B,10,7.5,3.2,13.95,2.44,3.25,1.95,B,1,1,
K258,10B,10,7.5,3.8,16.09,2.95,3.59,2.05,B,1,1,
K237,10B,10,7.5,4.9,44.7,8.05,4.38,3.93,B,1,1,
K230,10B,10,7.5,3.5,17.89,3.26,4.19,3.25,B,1,1,
B110,11A,11,7.5,4.15,25.24,4.67,4.23,3.65,B,1,1,
K117,11A,11,7.5,4,25.78,4.14,3.12,3.23,B,1,1,
B101,11A,11,7.5,4.9,38.98,7.23,2.9,2.48,B,1,1,
B16,11A,11,7.5,3.4,17.05,2.98,3.63,3.12,B,1,1,
B84,11A,11,7.5,4.4,35.5,5.81,3.34,2.02,B,1,1,
B111,11A,11,7.5,3.8,17.02,3.12,3.2,3.07,B,1,1,
B89,11A,11,7.5,4,23.13,3.87,6,5.09,B,1,1,
B119,11A,11,7.5,4.3,28.13,5.04,3.31,2,B,1,1,
K228,11A,11,7.5,4,33.43,5.97,3.04,2.33,B,1,1,
B93,11A,11,7.5,3.5,16.58,3.11,3.41,1.95,B,1,1,
K264`,11A,11,7.5,3.5,17.04,3.02,3.09,1.94,B,1,1,
B73,11A,11,7.5,3.9,23.5,3.99,3.04,2.44,B,1,1,
B17,11B,11,7.5,3.4,15.79,2.73,3.05,1.99,B,1,1,
K223,11B,11,7.5,4,24.04,4.4,3.76,3.34,B,1,1,
K123,11B,11,7.5,3.7,19.17,3.32,2.56,1.24,B,1,1,
K206,11B,11,7.5,4,23.72,4.32,3,1.65,B,1,1,
B94,11B,11,7.5,3.7,19.15,3.46,3.9,3.33,B,1,1,
B74,11B,11,7.5,3.45,15.62,2.95,3.86,3.12,B,1,1,
B1,11B,11,7.5,3.3,24.69,2.88,2.99,1.86,B,1,1,
B70,11B,11,7.5,3.8,22.42,3.81,3.57,2.13,B,1,1,
B21,11B,11,7.5,3.3,17.43,2.81,3.88,3.59,B,1,1,
B102,11B,11,7.5,3.55,17.28,3.3,4.16,3.69,B,1,1,
K239,11B,11,7.5,3.5,20.01,3.67,3.48,2.55,B,1,1,
B85,11B,11,7.5,3.1,14.86,2.77,2.77,2.16,B,1,1,
K254,1A,1,7.8,4,26.74,5.08,2.46,1.43,UW1,2,2,
K213,1A,1,7.8,3.6,23.6,3.89,4.28,2.94,UW1,2,2,
B4,1A,1,7.8,3.5,16.18,2.85,3.17,1.55,UW1,2,2,
B122,1A,1,7.8,4.2,24.23,4.28,3.33,2.45,UW1,2,2,
K84,1A,1,7.8,3.2,16.32,3.12,4.63,3.8,UW1,2,2,
K216,1A,1,7.8,4.2,27.46,4.72,3.08,0.68,UW1,2,2,
B23,1A,1,7.8,3.7,25.85,4.65,3.28,2.56,UW1,2,2,
B69,1A,1,7.8,4,20.46,3.83,3.18,2.25,UW1,2,2,
B39,1A,1,7.8,3.9,26.36,4.62,4.97,3.87,UW1,2,2,
B100,1A,1,7.8,4.9,40.49,7.2,2.63,0,UW1,2,2,
B114,1A,1,7.8,4.5,35.04,5.73,2.9,1.83,UW1,2,2,
K249,1A,1,7.8,4.2,30.76,5.55,2.53,1.8,UW1,2,2,
B18,1B,1,7.8,3.7,17.64,3,3.38,2.2,UW1,2,2,
K100,1B,1,7.8,4.55,35.92,6.98,3.89,3.15,UW1,2,2,
B53,1B,1,7.8,4.1,23,3.91,3.1,2.57,UW1,2,2,
B76,1B,1,7.8,4,19.92,3.47,2.48,0.73,UW1,2,2,
K13,1B,1,7.8,4.8,31.7,5.68,3.54,2.29,UW1,2,2,
B90,1B,1,7.8,3.5,21.69,4.23,2.51,1.64,UW1,2,2,
B26,1B,1,7.8,4,28.19,5.05,4.77,3.67,UW1,2,2,
B5,1B,1,7.8,3.4,16.61,3.14,3.13,1.44,UW1,2,2,
B124,1B,1,7.8,4.3,29.12,5.09,2.5,0.49,UW1,2,2,
B99,1B,1,7.8,3.9,16.65,3.32,2.82,1.98,UW1,2,2,
B61,1B,1,7.8,3.8,20.58,3.68,3.59,2.65,UW1,2,2,
K255,1B,1,7.8,3.5,18.71,3.45,3.58,5.58,UW1,2,2,
K54,5A,5,7.8,4.5,34.85,6.25,6.42,5.72,UW1,2,2,
K205,5A,5,7.8,4.1,26.49,4.65,6.91,6.24,UW1,2,2,
K226,5A,5,7.8,5.4,48.79,9.12,6.12,5.79,UW1,2,2,
K200,5A,5,7.8,4.8,37.57,6.54,3.37,2.25,UW1,2,2,
B95,5A,5,7.8,4.1,23.12,4.13,6.82,5.79,UW1,2,2,
B52,5A,5,7.8,3.8,20.73,3.74,2.93,1.85,UW1,2,2,
K201,5A,5,7.8,3.4,18.13,3.32,4.48,3.38,UW1,2,2,
B66,5A,5,7.8,4.25,25.33,4.71,4.16,2.73,UW1,2,2,
K16,5A,5,7.8,3.8,20.02,3.53,6.39,5.7,UW1,2,2,
B81,5A,5,7.8,4.2,27.54,4.9,6.88,5.38,UW1,2,2,
K31,5A,5,7.8,4.65,30.34,5.34,5.48,4.21,UW1,2,2,
B64,5A,5,7.8,3.8,18.15,3.21,2.89,2.86,UW1,2,2,
K220,5B,5,7.8,3.5,18.76,3.16,3.45,1.85,UW1,2,2,
B58,5B,5,7.8,4.1,26.65,4.5,5.05,0,UW1,2,2,
K241,5B,5,7.8,4.2,30.59,5.18,3.45,1.02,UW1,2,2,
B41,5B,5,7.8,4.6,38.46,6.94,2.65,0.49,UW1,2,2,
B78,5B,5,7.8,3.8,19.05,3.61,3.31,2.17,UW1,2,2,
K219,5B,5,7.8,3.5,19.55,3.59,3.92,2.81,UW1,2,2,
K240,5B,5,7.8,3.5,17.03,3.12,2.69,1.45,UW1,2,2,
K252,5B,5,7.8,4.2,28.92,5.25,4.75,3.98,UW1,2,2,
B43,5B,5,7.8,3.3,17.7,3.1,3.36,2.44,UW1,2,2,
B116,5B,5,7.8,3.9,22.27,4.06,2.77,0.94,UW1,2,2,
B9,5B,5,7.8,3.1,13.36,2.22,5.07,4.25,UW1,2,2,
K236,5B,5,7.8,3.7,20.37,4.07,2.3,1.06,UW1,2,2,
K50,3A,3,7.65,4.4,34.11,5.86,4.02,3.46,UW1,2,2,
B120,3A,3,7.65,4,19.85,3.86,3.57,3.1,UW1,2,2,
K233,3A,3,7.65,4.3,32.3,5.19,3.23,2.86,UW1,2,2,
B77,3A,3,7.65,4.2,22.95,4.26,3.62,2.79,UW1,2,2,
B91,3A,3,7.65,3.6,22.08,3.71,4.22,3.55,UW1,2,2,
K83,3A,3,7.65,3.2,13.96,2.74,3.3,2.52,UW1,2,2,
B45,3A,3,7.65,4.1,25.91,4.33,3.5,2.74,UW1,2,2,
B68,3A,3,7.65,4,26.78,5.12,2.81,2.11,UW1,2,2,
B38,3A,3,7.65,4.5,34.14,5.88,3.14,2.17,UW1,2,2,
B104,3A,3,7.65,3.9,23.04,4.02,2.48,1.77,UW1,2,2,
B65,3A,3,7.65,4.4,36.07,6.56,2.19,0.12,UW1,2,2,
B79,3A,3,7.65,3.7,18.99,3.33,3.15,2.48,UW1,2,2,
B105,3B,3,7.65,3.7,17.57,3.09,3.84,3.19,UW1,2,2,
K243,3B,3,7.65,4.1,27.4,4.63,4.72,3.19,UW1,2,2,
B15,3B,3,7.65,3.8,22.78,4.01,2.24,1.52,UW1,2,2,
K127,3B,3,7.65,3.1,13.27,2.35,1.8,0.93,UW1,2,2,
K225,3B,3,7.65,4.2,26.7,5.04,3.97,3.19,UW1,2,2,
K248,3B,3,7.65,3.9,26.9,4.96,3.96,3.32,UW1,2,2,
K209,3B,3,7.65,5,54.06,9.13,4.1,3.63,UW1,2,2,
B25,3B,3,7.65,3.3,14.92,2.55,3.23,2.36,UW1,2,2,
B37,3B,3,7.65,3.9,23.09,4.12,3.63,3,UW1,2,2,
B7,3B,3,7.65,3.7,19.22,3.53,4.45,3.73,UW1,2,2,
B46,3B,3,7.65,4.6,32.92,5.03,3.56,2.83,UW1,2,2,
K208,3B,3,7.65,3.35,15.92,2.92,3.11,2.53,UW1,2,2,
K202,4A,4,7.65,4.2,29.84,5.35,3.19,1.5,UW1,2,2,
K212,4A,4,7.65,3.75,22.1,3.79,3.02,2.18,UW1,2,2,
K214,4A,4,7.65,5.1,43.47,7.55,2.66,2,UW1,2,2,
K218,4A,4,7.65,3.2,14.36,2.65,2.14,1.64,UW1,2,2,
K210,4A,4,7.65,4.1,25.92,4.75,3.67,2.88,UW1,2,2,
K231,4A,4,7.65,3.7,19.33,3.61,2.32,1.71,UW1,2,2,
B86,4A,4,7.65,3.7,18.53,3.25,2.75,2.31,UW1,2,2,
B62,4A,4,7.65,4.65,29.87,5.2,4.61,4.29,UW1,2,2,
K129,4A,4,7.65,3.2,15.12,2.85,2.3,1.53,UW1,2,2,
B63,4A,4,7.65,4,26.31,4.49,2.7,2.14,UW1,2,2,
K259,4A,4,7.65,2.8,10.58,1.78,2.88,2.35,UW1,2,2,
K246,4A,4,7.65,3.7,20.83,3.5,2.81,1.23,UW1,2,2,
B113,4B,4,7.65,5.65,70.01,11.35,3.19,2.81,UW1,2,2,
B32,4B,4,7.65,4.4,29.58,5.12,4.23,3.91,UW1,2,2,
B60,4B,4,7.65,3.2,14.6,2.79,4.37,4.06,UW1,2,2,
K120,4B,4,7.65,3.8,16.34,2.56,3.38,2.91,UW1,2,2,
B121,4B,4,7.65,3.8,16.34,2.56,3.05,2.85,UW1,2,2,
