Urchin ID,Tank,Header,Treatment,Urchin_Size,Urchin_B_Weight,Urchin_W_weight,K_S1,K_E1,Period,Dummy,SubP_Event,
K265,4B,4,7.65,3.6,15.15,2.81,2.04,1.73,UW1,2,2,
K222,4B,4,7.65,3.5,18.06,3.57,2.21,0.94,UW1,2,2,
K242,4B,4,7.65,4.4,31.97,5.44,2.92,2.51,UW1,2,2,
B19,4B,4,7.65,3.35,16.77,2.98,2.51,2.06,UW1,2,2,
B50,4B,4,7.65,3.7,14.8,2.61,2.59,2.12,UW1,2,2,
K221,4B,4,7.65,5,53.31,8.89,1.9,1.57,UW1,2,2,
K262,4B,4,7.65,3.1,18.33,3.06,2.79,2.22,UW1,2,2,
B10,6A,6,7.8,3.6,18.1,3.13,3.03,1.35,UW1,2,2,
K261,6A,6,7.8,3.4,15.05,2.81,3.35,2.24,UW1,2,2,
B42,6A,6,7.8,3.5,14.73,2.7,3.73,2.57,UW1,2,2,
B80,6A,6,7.8,3.7,15.6,2.95,2.67,1.09,UW1,2,2,
B115,6A,6,7.8,4,19.95,3.74,3.63,0.73,UW1,2,2,
K35,6A,6,7.8,3.8,21.45,4.15,2.28,1.39,UW1,2,2,
K9,6A,6,7.8,3.9,19.89,3.55,2,1.13,UW1,2,2,
K77,6A,6,7.8,5,52.19,9.3,3.12,1.19,UW1,2,2,
K211,6A,6,7.8,3.7,19.8,3.35,3.45,2.58,UW1,2,2,
B108,6A,6,7.8,3.5,16.14,3.16,2.71,1.6,UW1,2,2,
B27,6A,6,7.8,3.6,18.7,3.16,3.14,2.41,UW1,2,2,
B24,6A,6,7.8,3.3,13.09,2.42,3.58,2.34,UW1,2,2,
K244,6B,6,7.8,4.4,35.48,6.05,2.06,0,UW1,2,2,
B11,6B,6,7.8,3.5,18.05,3.23,2.19,0.91,UW1,2,2,
K121,6B,6,7.8,3.2,15.2,2.72,2.4,1.34,UW1,2,2,
B33,6B,6,7.8,3.7,21.11,3.49,2.63,1.56,UW1,2,2,
B6,6B,6,7.8,3.1,13.39,2.56,1.95,1.25,UW1,2,2,
B118,6B,6,7.8,4,21.05,3.79,2.77,1.84,UW1,2,2,
B87,6B,6,7.8,3.6,19.91,3.64,1.96,0.75,UW1,2,2,
B13,6B,6,7.8,3.5,18.58,3.48,2.93,2.12,UW1,2,2,
B75,6B,6,7.8,4.8,34.06,6.25,1.98,1.34,UW1,2,2,
K238,6B,6,7.8,3.7,21.78,4.32,4.58,2.88,UW1,2,2,
B51,6B,6,7.8,4.1,19.18,3.59,2.86,2.08,UW1,2,2,
B2,6B,6,7.8,3.3,14.84,2.59,2.33,1.38,UW1,2,2,
K60,8A,8,7.65,4.1,29.89,5.8,2.63,2.11,UW1,2,2,
K47,8A,8,7.65,4,29,5,2.33,2.59,UW1,2,2,
K6,8A,8,7.65,3.9,23.36,4.26,1.98,1.5,UW1,2,2,
B12,8A,8,7.65,4.8,44.6,7.89,3.02,0.67,UW1,2,2,
B8,8A,8,7.65,3.3,14.72,2.57,2.92,2.16,UW1,2,2,
B34,8A,8,7.65,3.7,22.3,3.75,5.25,4.32,UW1,2,2,
B106,8A,8,7.65,4.3,25.45,"4,50",3.24,1.38,UW1,2,2,
K39,8A,8,7.65,3.8,18.65,3.71,2.18,1.4,UW1,2,2,
B47,8A,8,7.65,3.4,16.01,2.8,3.34,1.37,UW1,2,2,
K250,8A,8,7.65,3.8,22.5,4.32,2.54,1.78,UW1,2,2,
K227,8A,8,7.65,3.5,21.54,3.68,2.98,1.91,UW1,2,2,
K266,8A,8,7.65,3.3,14.34,2.64,4.34,3.35,UW1,2,2,
B40,8B,8,7.65,3.8,23.95,4.63,2.76,1.9,UW1,2,2,
B44,8B,8,7.65,5.4,52.83,9.33,2.16,1.53,UW1,2,2,
B56,8B,8,7.65,5.5,40.02,6.9,3.67,2.63,UW1,2,2,
B54,8B,8,7.65,3.4,17.31,3.16,2.1,1.46,UW1,2,2,
B107,8B,8,7.65,3.7,18.92,3.22,2.91,2.09,UW1,2,2,
K256,8B,8,7.65,4.1,28.36,5.03,3.93,2.84,UW1,2,2,
B22,8B,8,7.65,2.9,10.76,1.86,3.52,2.16,UW1,2,2,
K18,8B,8,7.65,4.25,25.5,4.37,2.97,2.72,UW1,2,2,
K245,8B,8,7.65,3.3,16.85,2.86,2.87,2.32,UW1,2,2,
K46,8B,8,7.65,4.4,30.21,5.05,2.7,1.2,UW1,2,2,
K257,8B,8,7.65,2.8,10.32,2.05,3.36,3.14,UW1,2,2,
B57,8B,8,7.65,3.1,13.07,2.49,3.35,2.37,UW1,2,2,
B67,9A,9,7.5,3.7,14.61,3.01,5.44,5.25,UW1,2,2,
B97,9A,9,7.5,3.6,20.47,3.84,3.49,3.27,UW1,2,2,
B98,9A,9,7.5,4.25,27.73,4.88,3.71,2.87,UW1,2,2,
B29,9A,9,7.5,3.6,17.64,3.13,5.97,5.56,UW1,2,2,
B31,9A,9,7.5,4.1,24.6,4.38,6.57,6.56,UW1,2,2,
B96,9A,9,7.5,3.9,20.63,3.68,6.93,6.6,UW1,2,2,
B88,9A,9,7.5,3.6,17.23,2.6,3.91,3.56,UW1,2,2,
K254,9A,9,7.5,4,26.74,5.08,2.82,2.66,UW1,2,2,
K215,9A,9,7.5,3.1,12.09,2.13,4.12,3.86,UW1,2,2,
B55,9A,9,7.5,3.5,16.06,3.02,5.17,5,UW1,2,2,
B3,9A,9,7.5,3.8,19.88,3.63,6.21,6.12,UW1,2,2,
B83,9A,9,7.5,3.6,18.18,3.33,4.96,4.86,UW1,2,2,
B28,9B,9,7.5,3.1,12.45,2.34,3.31,3.12,UW1,2,2,
K247,9B,9,7.5,4.1,25.2,4.32,2.91,3.48,UW1,2,2,
B36,9B,9,7.5,3.5,18.28,2.92,3.88,3.65,UW1,2,2,
K56,9B,9,7.5,3.6,16.24,3.04,2.82,2.64,UW1,2,2,
K253,9B,9,7.5,3.8,23.29,3.98,5.8,5.51,UW1,2,2,
K229,9B,9,7.5,4.9,44.99,7.76,4.09,4.17,UW1,2,2,
B112,9B,9,7.5,3.7,18.22,3.33,3.4,2.54,UW1,2,2,
K224,9B,9,7.5,3.6,17.76,3.15,2.77,2.64,UW1,2,2,
K89,9B,9,7.5,3.5,17.66,3,3.3,3.19,UW1,2,2,
B117,9B,9,7.5,3.6,16.74,3.05,4.45,4.29,UW1,2,2,
B109,9B,9,7.5,5.7,66.46,11.33,3.73,3.53,UW1,2,2,
B59,9B,9,7.5,3.4,15.37,2.85,3.36,2.84,UW1,2,2,
K217,10A,10,7.5,4.5,32.87,5.95,6.91,6.7,UW1,2,2,
B123,10A,10,7.5,3.85,21.87,3.79,4.39,3.71,UW1,2,2,
B103,10A,10,7.5,3.8,19.2,3.44,3.31,3.21,UW1,2,2,
K263,10A,10,7.5,3.4,13.96,2.38,3.36,3.19,UW1,2,2,
K8,10A,10,7.5,4.15,23.87,4.23,2.43,2.25,UW1,2,2,
K232,10A,10,7.5,4.2,33.38,6.06,2.61,2.34,UW1,2,2,
B35,10A,10,7.5,3.8,21.45,4.15,2.68,2.32,UW1,2,2,
B92,10A,10,7.5,3.3,16.62,3.15,3.2,2.96,UW1,2,2,
K235,10A,10,7.5,4.4,32.86,5.58,2.57,2.3,UW1,2,2,
K49,10A,10,7.5,4.8,36.23,6.8,2.82,1.8,UW1,2,2,
K203,10A,10,7.5,4.1,25.2,4.33,2.55,2.4,UW1,2,2,
B71,10A,10,7.5,4.1,25.99,4.58,2.1,2.06,UW1,2,2,
K260,10B,10,7.5,3,12.95,2.47,2.36,1.99,UW1,2,2,
K207,10B,10,7.5,4,24.05,4.42,2.92,2.66,UW1,2,2,
B72,10B,10,7.5,3.9,26.72,4.73,3.52,3.34,UW1,2,2,
B82,10B,10,7.5,4.1,29.86,5.46,3.02,2.75,UW1,2,2,
K71,10B,10,7.5,4.2,25.86,4.27,3.02,2.71,UW1,2,2,
B20,10B,10,7.5,3.2,14.91,2.6,3.28,3.06,UW1,2,2,
B48,10B,10,7.5,3.8,17.18,3.28,3.31,2.92,UW1,2,2,
B30,10B,10,7.5,3.2,14.3,2.6,2.53,2.12,UW1,2,2,
B49,10B,10,7.5,3.2,13.95,2.44,2.46,2.05,UW1,2,2,
K258,10B,10,7.5,3.8,16.09,2.95,3.77,3.02,UW1,2,2,
K237,10B,10,7.5,4.9,44.7,8.05,5.31,5.07,UW1,2,2,
K230,10B,10,7.5,3.5,17.89,3.26,3.42,3.03,UW1,2,2,
B110,11A,11,7.5,4.15,25.24,4.67,3.77,2.79,UW1,2,2,
K117,11A,11,7.5,4,25.78,4.14,3.76,3.26,UW1,2,2,
B101,11A,11,7.5,4.9,38.98,7.23,4.59,4.25,UW1,2,2,
B16,11A,11,7.5,3.4,17.05,2.98,2.88,2.18,UW1,2,2,
B84,11A,11,7.5,4.4,35.5,5.81,3.44,3.04,UW1,2,2,
B111,11A,11,7.5,3.8,17.02,3.12,2.92,2.99,UW1,2,2,
B89,11A,11,7.5,4,23.13,3.87,2.58,2.14,UW1,2,2,
B119,11A,11,7.5,4.3,28.13,5.04,2.95,2.42,UW1,2,2,
K228,11A,11,7.5,4,33.43,5.97,2.43,2.06,UW1,2,2,
B93,11A,11,7.5,3.5,16.58,3.11,2.5,2.1,UW1,2,2,
K264`,11A,11,7.5,3.5,17.04,3.02,2.51,2.03,UW1,2,2,
B73,11A,11,7.5,3.9,23.5,3.99,1.96,1.53,UW1,2,2,
B17,11B,11,7.5,3.4,15.79,2.73,3.2,2.62,UW1,2,2,
K223,11B,11,7.5,4,24.04,4.4,2.52,1.8,UW1,2,2,
K123,11B,11,7.5,3.7,19.17,3.32,2.32,2.12,UW1,2,2,
K206,11B,11,7.5,4,23.72,4.32,2.3,0.95,UW1,2,2,
B94,11B,11,7.5,3.7,19.15,3.46,2.77,2.18,UW1,2,2,
B74,11B,11,7.5,3.45,15.62,2.95,2.6,2.32,UW1,2,2,
B1,11B,11,7.5,3.3,24.69,2.88,4.37,4.26,UW1,2,2,
B70,11B,11,7.5,3.8,22.42,3.81,2.75,1.99,UW1,2,2,
B21,11B,11,7.5,3.3,17.43,2.81,3.12,2.46,UW1,2,2,
B102,11B,11,7.5,3.55,17.28,3.3,2.55,1.86,UW1,2,2,
K239,11B,11,7.5,3.5,20.01,3.67,4.05,4.03,UW1,2,2,
B85,11B,11,7.5,3.1,14.86,2.77,2.77,2.34,UW1,2,2,
K254,1A,1,7.8,4,26.74,5.08,2.49,1.56,R1,3,2,
K213,1A,1,7.8,3.6,23.6,3.89,2.16,1.14,R1,3,2,
B4,1A,1,7.8,3.5,16.18,2.85,2.82,2.13,R1,3,2,
B122,1A,1,7.8,4.2,24.23,4.28,3.24,2.31,R1,3,2,
K84,1A,1,7.8,3.2,16.32,3.12,2.86,1.46,R1,3,2,
K216,1A,1,7.8,4.2,27.46,4.72,3.53,2.93,R1,3,2,
B23,1A,1,7.8,3.7,25.85,4.65,2.63,1.51,R1,3,2,
B69,1A,1,7.8,4,20.46,3.83,3.13,2.05,R1,3,2,
B39,1A,1,7.8,3.9,26.36,4.62,3.2,1.22,R1,3,2,
B100,1A,1,7.8,4.9,40.49,7.2,2.89,0.28,R1,3,2,
B114,1A,1,7.8,4.5,35.04,5.73,4.2,1.86,R1,3,2,
K249,1A,1,7.8,4.2,30.76,5.55,3.14,2.19,R1,3,2,
B18,1B,1,7.8,3.7,17.64,3,3.14,2.31,R1,3,2,
K100,1B,1,7.8,4.55,35.92,6.98,3.04,1.81,R1,3,2,
B53,1B,1,7.8,4.1,23,3.91,2.99,2.17,R1,3,2,
B76,1B,1,7.8,4,19.92,3.47,3.29,2.06,R1,3,2,
K13,1B,1,7.8,4.8,31.7,5.68,2.73,0.69,R1,3,2,
B90,1B,1,7.8,3.5,21.69,4.23,2.54,1.65,R1,3,2,
B26,1B,1,7.8,4,28.19,5.05,3.17,2.02,R1,3,2,
B5,1B,1,7.8,3.4,16.61,3.14,3.65,2.16,R1,3,2,
B124,1B,1,7.8,4.3,29.12,5.09,3.12,2.13,R1,3,2,
B99,1B,1,7.8,3.9,16.65,3.32,2.51,1.51,R1,3,2,
B61,1B,1,7.8,3.8,20.58,3.68,2.4,0.82,R1,3,2,
K255,1B,1,7.8,3.5,18.71,3.45,2.8,1.53,R1,3,2,
K54,5A,5,7.8,4.5,34.85,6.25,2.29,1.07,R1,3,2,
K205,5A,5,7.8,4.1,26.49,4.65,2.19,0.69,R1,3,2,
K226,5A,5,7.8,5.4,48.79,9.12,3.68,0.73,R1,3,2,
K200,5A,5,7.8,4.8,37.57,6.54,2.97,1.58,R1,3,2,
B95,5A,5,7.8,4.1,23.12,4.13,3.37,2.14,R1,3,2,
B52,5A,5,7.8,3.8,20.73,3.74,3.15,1.99,R1,3,2,
K201,5A,5,7.8,3.4,18.13,3.32,3.06,1.77,R1,3,2,
B66,5A,5,7.8,4.25,25.33,4.71,3.37,0.91,R1,3,2,
K16,5A,5,7.8,3.8,20.02,3.53,3.45,2.75,R1,3,2,
B81,5A,5,7.8,4.2,27.54,4.9,3.22,1.49,R1,3,2,
K31,5A,5,7.8,4.65,30.34,5.34,2.35,1.35,R1,3,2,
B64,5A,5,7.8,3.8,18.15,3.21,3.06,2.2,R1,3,2,
K220,5B,5,7.8,3.5,18.76,3.16,2.85,1.91,R1,3,2,
B58,5B,5,7.8,4.1,26.65,4.5,2.77,1.65,R1,3,2,
K241,5B,5,7.8,4.2,30.59,5.18,3.13,1.82,R1,3,2,
B41,5B,5,7.8,4.6,38.46,6.94,3.48,3.92,R1,3,2,
B78,5B,5,7.8,3.8,19.05,3.61,2.58,0.94,R1,3,2,
K219,5B,5,7.8,3.5,19.55,3.59,3.08,2.55,R1,3,2,
K240,5B,5,7.8,3.5,17.03,3.12,3.28,2.14,R1,3,2,
K252,5B,5,7.8,4.2,28.92,5.25,2.37,1.33,R1,3,2,
B43,5B,5,7.8,3.3,17.7,3.1,2.61,1.14,R1,3,2,
B116,5B,5,7.8,3.9,22.27,4.06,2.74,1.66,R1,3,2,
B9,5B,5,7.8,3.1,13.36,2.22,3.44,2.98,R1,3,2,
K236,5B,5,7.8,3.7,20.37,4.07,2.54,1.55,R1,3,2,
K50,3A,3,7.65,4.4,34.11,5.86,3.5,2.44,R1,3,2,
B120,3A,3,7.65,4,19.85,3.86,2.56,1.91,R1,3,2,
K233,3A,3,7.65,4.3,32.3,5.19,2.5,1.88,R1,3,2,
B77,3A,3,7.65,4.2,22.95,4.26,2.69,1.66,R1,3,2,
B91,3A,3,7.65,3.6,22.08,3.71,2.48,1.26,R1,3,2,
K83,3A,3,7.65,3.2,13.96,2.74,3.09,1.36,R1,3,2,
B45,3A,3,7.65,4.1,25.91,4.33,3.44,0.94,R1,3,2,
B68,3A,3,7.65,4,26.78,5.12,3.05,1.83,R1,3,2,
B38,3A,3,7.65,4.5,34.14,5.88,2.32,1.05,R1,3,2,
B104,3A,3,7.65,3.9,23.04,4.02,2.61,1.28,R1,3,2,
B65,3A,3,7.65,4.4,36.07,6.56,2.84,2.07,R1,3,2,
B79,3A,3,7.65,3.7,18.99,3.33,3.75,2.69,R1,3,2,
B105,3B,3,7.65,3.7,17.57,3.09,2.66,1.58,R1,3,2,
K243,3B,3,7.65,4.1,27.4,4.63,3.35,2.69,R1,3,2,
B15,3B,3,7.65,3.8,22.78,4.01,2.7,1.56,R1,3,2,
K127,3B,3,7.65,3.1,13.27,2.35,2.37,1.51,R1,3,2,
K225,3B,3,7.65,4.2,26.7,5.04,3.29,2.25,R1,3,2,
K248,3B,3,7.65,3.9,26.9,4.96,3.11,1.73,R1,3,2,
K209,3B,3,7.65,5,54.06,9.13,2.91,2.21,R1,3,2,
B25,3B,3,7.65,3.3,14.92,2.55,2.6,1.84,R1,3,2,
B37,3B,3,7.65,3.9,23.09,4.12,2.77,1.84,R1,3,2,
B7,3B,3,7.65,3.7,19.22,3.53,2.52,1.39,R1,3,2,
B46,3B,3,7.65,4.6,32.92,5.03,2.6,1.33,R1,3,2,
K208,3B,3,7.65,3.35,15.92,2.92,2.69,1.88,R1,3,2,
K202,4A,4,7.65,4.2,29.84,5.35,2.51,1.83,R1,3,2,
K212,4A,4,7.65,3.75,22.1,3.79,2.41,1.19,R1,3,2,
K214,4A,4,7.65,5.1,43.47,7.55,4,2.92,R1,3,2,
K218,4A,4,7.65,3.2,14.36,2.65,3.24,2.36,R1,3,2,
K210,4A,4,7.65,4.1,25.92,4.75,2.78,0.97,R1,3,2,
K231,4A,4,7.65,3.7,19.33,3.61,2.55,1.56,R1,3,2,
B86,4A,4,7.65,3.7,18.53,3.25,3.62,2.97,R1,3,2,
B62,4A,4,7.65,4.65,29.87,5.2,2.49,1.12,R1,3,2,
K129,4A,4,7.65,3.2,15.12,2.85,2.5,1.38,R1,3,2,
B63,4A,4,7.65,4,26.31,4.49,3.67,2.69,R1,3,2,
K259,4A,4,7.65,2.8,10.58,1.78,2.63,1.68,R1,3,2,
K246,4A,4,7.65,3.7,20.83,3.5,3.85,1.1,R1,3,2,
B113,4B,4,7.65,5.65,70.01,11.35,3.1,0.05,R1,3,2,
B32,4B,4,7.65,4.4,29.58,5.12,2.19,0.12,R1,3,2,
B60,4B,4,7.65,3.2,14.6,2.79,2.37,1.38,R1,3,2,
K120,4B,4,7.65,3.8,16.34,2.56,2.45,1.35,R1,3,2,
B121,4B,4,7.65,3.8,16.34,2.56,3.08,1.72,R1,3,2,
K265,4B,4,7.65,3.6,15.15,2.81,2.42,1.55,R1,3,2,
K222,4B,4,7.65,3.5,18.06,3.57,2.29,1.24,R1,3,2,
K242,4B,4,7.65,4.4,31.97,5.44,2.31,0.11,R1,3,2,
B19,4B,4,7.65,3.35,16.77,2.98,2.97,1.25,R1,3,2,
B50,4B,4,7.65,3.7,14.8,2.61,2.11,0.68,R1,3,2,
K221,4B,4,7.65,5,53.31,8.89,3.53,2.88,R1,3,2,
K262,4B,4,7.65,3.1,18.33,3.06,3.23,2.09,R1,3,2,
B10,6A,6,7.8,3.6,18.1,3.13,3.16,1.87,R1,3,2,
K261,6A,6,7.8,3.4,15.05,2.81,2.38,1.07,R1,3,2,
B42,6A,6,7.8,3.5,14.73,2.7,2.65,2,R1,3,2,
B80,6A,6,7.8,3.7,15.6,2.95,2.78,1.61,R1,3,2,
B115,6A,6,7.8,4,19.95,3.74,2.09,1.56,R1,3,2,
K35,6A,6,7.8,3.8,21.45,4.15,2.4,1.35,R1,3,2,
K9,6A,6,7.8,3.9,19.89,3.55,2.56,2.08,R1,3,2,
K77,6A,6,7.8,5,52.19,9.3,3.92,2.86,R1,3,2,
K211,6A,6,7.8,3.7,19.8,3.35,2.27,1.4,R1,3,2,
B108,6A,6,7.8,3.5,16.14,3.16,2.94,1.75,R1,3,2,
B27,6A,6,7.8,3.6,18.7,3.16,2.3,1.41,R1,3,2,
B24,6A,6,7.8,3.3,13.09,2.42,2.66,1.5,R1,3,2,
K244,6B,6,7.8,4.4,35.48,6.05,3.76,3.1,R1,3,2,
B11,6B,6,7.8,3.5,18.05,3.23,3.26,2.29,R1,3,2,
K121,6B,6,7.8,3.2,15.2,2.72,2.11,1.3,R1,3,2,
B33,6B,6,7.8,3.7,21.11,3.49,3.02,1.53,R1,3,2,
B6,6B,6,7.8,3.1,13.39,2.56,3.53,2.6,R1,3,2,
B118,6B,6,7.8,4,21.05,3.79,3,1.67,R1,3,2,
B87,6B,6,7.8,3.6,19.91,3.64,3.13,1.34,R1,3,2,
B13,6B,6,7.8,3.5,18.58,3.48,2.13,1.04,R1,3,2,
B75,6B,6,7.8,4.8,34.06,6.25,3.54,0.63,R1,3,2,
K238,6B,6,7.8,3.7,21.78,4.32,2.87,2.09,R1,3,2,
B51,6B,6,7.8,4.1,19.18,3.59,2.68,1.41,R1,3,2,
B2,6B,6,7.8,3.3,14.84,2.59,2.72,1.12,R1,3,2,
K60,8A,8,7.65,4.1,29.89,5.8,3.18,1.9,R1,3,2,
K47,8A,8,7.65,4,29,5,3.3,1.61,R1,3,2,
K6,8A,8,7.65,3.9,23.36,4.26,2.53,1.72,R1,3,2,
B12,8A,8,7.65,4.8,44.6,7.89,3.44,0.14,R1,3,2,
B8,8A,8,7.65,3.3,14.72,2.57,3.13,2.01,R1,3,2,
B34,8A,8,7.65,3.7,22.3,3.75,2.91,1.6,R1,3,2,
B106,8A,8,7.65,4.3,25.45,"4,50",2.3,1.19,R1,3,2,
K39,8A,8,7.65,3.8,18.65,3.71,3.11,2.13,R1,3,2,
B47,8A,8,7.65,3.4,16.01,2.8,3,1.37,R1,3,2,
K250,8A,8,7.65,3.8,22.5,4.32,2.74,1.72,R1,3,2,
K227,8A,8,7.65,3.5,21.54,3.68,2.21,1.45,R1,3,2,
K266,8A,8,7.65,3.3,14.34,2.64,2.54,1.28,R1,3,2,
B40,8B,8,7.65,3.8,23.95,4.63,3.27,2.04,R1,3,2,
B44,8B,8,7.65,5.4,52.83,9.33,3.25,2.57,R1,3,2,
B56,8B,8,7.65,5.5,40.02,6.9,3.29,2.1,R1,3,2,
B54,8B,8,7.65,3.4,17.31,3.16,3.39,1.85,R1,3,2,
B107,8B,8,7.65,3.7,18.92,3.22,3.06,1.45,R1,3,2,
K256,8B,8,7.65,4.1,28.36,5.03,3.37,2.53,R1,3,2,
B22,8B,8,7.65,2.9,10.76,1.86,2.5,1.6,R1,3,2,
K18,8B,8,7.65,4.25,25.5,4.37,2.96,2.18,R1,3,2,
K245,8B,8,7.65,3.3,16.85,2.86,3.39,2.85,R1,3,2,
K46,8B,8,7.65,4.4,30.21,5.05,3.45,2.26,R1,3,2,
K257,8B,8,7.65,2.8,10.32,2.05,3.15,2.47,R1,3,2,
B57,8B,8,7.65,3.1,13.07,2.49,2.46,1.07,R1,3,2,
B67,9A,9,7.5,3.7,14.61,3.01,2.43,1.19,R1,3,2,
B97,9A,9,7.5,3.6,20.47,3.84,2.33,1.6,R1,3,2,
B98,9A,9,7.5,4.25,27.73,4.88,2.24,1.37,R1,3,2,
B29,9A,9,7.5,3.6,17.64,3.13,2.62,1.41,R1,3,2,
B31,9A,9,7.5,4.1,24.6,4.38,4,3.13,R1,3,2,
B96,9A,9,7.5,3.9,20.63,3.68,3.25,2.38,R1,3,2,
B88,9A,9,7.5,3.6,17.23,2.6,2.9,1.51,R1,3,2,
K254,9A,9,7.5,4,26.74,5.08,4.26,4.26,R1,3,2,
K215,9A,9,7.5,3.1,12.09,2.13,3.45,1.87,R1,3,2,
B55,9A,9,7.5,3.5,16.06,3.02,2.48,1.87,R1,3,2,
B3,9A,9,7.5,3.8,19.88,3.63,2.96,2.04,R1,3,2,
B83,9A,9,7.5,3.6,18.18,3.33,2.31,1.74,R1,3,2,
B28,9B,9,7.5,3.1,12.45,2.34,2.46,1.51,R1,3,2,
K247,9B,9,7.5,4.1,25.2,4.32,2.13,0.75,R1,3,2,
B36,9B,9,7.5,3.5,18.28,2.92,2.33,1.34,R1,3,2,
K56,9B,9,7.5,3.6,16.24,3.04,3.34,2.3,R1,3,2,
K253,9B,9,7.5,3.8,23.29,3.98,2.36,1.48,R1,3,2,
K229,9B,9,7.5,4.9,44.99,7.76,2.65,1.61,R1,3,2,
B112,9B,9,7.5,3.7,18.22,3.33,2.83,2.25,R1,3,2,
K224,9B,9,7.5,3.6,17.76,3.15,2.43,1.05,R1,3,2,
K89,9B,9,7.5,3.5,17.66,3,2.91,2.13,R1,3,2,
B117,9B,9,7.5,3.6,16.74,3.05,3.43,2.68,R1,3,2,
B109,9B,9,7.5,5.7,66.46,11.33,3.46,2.16,R1,3,2,
B59,9B,9,7.5,3.4,15.37,2.85,3.06,2.29,R1,3,2,
K217,10A,10,7.5,4.5,32.87,5.95,3.34,1.49,R1,3,2,
B123,10A,10,7.5,3.85,21.87,3.79,2.8,1.87,R1,3,2,
B103,10A,10,7.5,3.8,19.2,3.44,3.12,1.85,R1,3,2,
K263,10A,10,7.5,3.4,13.96,2.38,2.46,1.6,R1,3,2,
K8,10A,10,7.5,4.15,23.87,4.23,2.63,2.14,R1,3,2,
K232,10A,10,7.5,4.2,33.38,6.06,2.04,2.23,R1,3,2,
B35,10A,10,7.5,3.8,21.45,4.15,3.16,2.4,R1,3,2,
